Abbreviation,Name
SCL,SEATTLE CITY LIGHT
TPWR,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION"
PSEI,PUGET SOUND ENERGY
CHPD,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY
GCPD,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON"
DOPD,PUD NO. 1 OF DOUGLAS COUNTY
AVA,AVISTA CORPORATION
BPAT,BONNEVILLE POWER ADMINISTRATION
AZPS,ARIZONA PUBLIC SERVICE COMPANY
TIDC,TURLOCK IRRIGATION DISTRICT
BANC,BALANCING AUTHORITY OF NORTHERN CALIFORNIA
LDWP,LOS ANGELES DEPARTMENT OF WATER AND POWER
IID,IMPERIAL IRRIGATION DISTRICT
CISO,CALIFORNIA INDEPENDENT SYSTEM OPERATOR
PNM,PUBLIC SERVICE COMPANY OF NEW MEXICO
EPE,EL PASO ELECTRIC COMPANY
IPCO,IDAHO POWER COMPANY
NEVP,NEVADA POWER COMPANY
NWMT,NORTHWESTERN ENERGY (NWMT)
PACE,PACIFICORP - EAST
PACW,PACIFICORP - WEST
PSCO,PUBLIC SERVICE COMPANY OF COLORADO
SRP,SALT RIVER PROJECT
TEPC,TUCSON ELECTRIC POWER COMPANY
WACM,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
WALC,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION
WAUW,WESTERN AREA POWER ADMINISTRATION UGP WEST
PGE,PORTLAND GENERAL ELECTRIC COMPANY
